,repository_name,language
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,argo-cd,
12,argo-rollouts,
13,async-datastore-client,Java
14,async-google-pubsub-client,Java
15,backup-utils,Shell
16,basic-pitch,Python
17,basic-pitch-ts,TypeScript
18,batty,Python
19,bazel,
20,bazel-tools,Java
21,beam,Java
22,big-data-rosetta-code,Scala
23,bigtable-autoscaler,Java
24,boilerplate-app,
25,bucket-runner,JavaScript
26,cartography,Python
27,cassandra-extra,Java
28,cassandra-medusa,Python
29,cassandra-opstools,Java
